6375;56154;927;431;54;1;bom
30071;110842;478;314;58;1;bom
27528;154686;767;0;18;0;ruim
24881;137311;323;5;61;0;ruim
19186;91548;103;109;32;1;ruim
37939;347140;140;85;40;1;ruim
38725;218752;286;8;68;1;ruim
29654;40818;732;44;24;1;bom
40255;27404;955;26;50;1;bom
30667;17189;629;52;44;1;bom
49091;490308;224;298;44;1;ruim
41164;185086;650;262;54;1;bom
13537;54990;760;8;21;1;bom
22157;56883;118;123;70;1;ruim
32492;297191;668;95;28;1;ruim
11829;97906;327;113;40;1;ruim
20055;107205;662;158;33;1;bom
2481;22537;344;292;56;1;bom
1773;1689;756;311;51;1;bom
14284;84886;299;163;37;1;ruim
26654;2817;700;110;29;1;bom
17510;28030;419;7;20;1;bom
48276;481337;500;225;53;1;ruim
25106;232681;666;253;45;1;ruim
39864;44279;923;466;58;1;bom
38782;208397;361;114;58;1;ruim
41361;76125;202;345;54;1;bom
46394;161631;512;60;24;1;ruim
48563;259496;550;60;33;1;ruim
2972;12792;400;315;54;0;bom
43899;199087;979;11;42;1;bom
32767;6168;465;273;70;1;bom
32165;297465;484;159;33;1;ruim
4123;9680;458;356;70;1;bom
2529;22983;904;304;69;1;bom
24222;96237;380;194;66;1;bom
32737;180817;497;26;21;1;ruim
43307;285731;863;191;54;1;bom
13226;78180;304;257;43;1;bom
14925;95702;413;73;47;1;ruim
37939;306165;415;75;65;1;ruim
36403;236432;557;32;22;1;ruim
17939;3724;580;79;40;1;bom
24598;217940;630;176;53;1;ruim
25196;177269;737;292;62;1;bom
23581;55490;659;189;62;1;bom
17858;150978;115;427;60;1;ruim
40995;115695;867;25;41;1;bom
40790;13740;354;1;51;0;bom
15018;22169;941;85;27;1;bom
44159;283771;753;0;18;0;ruim
37829;135685;114;214;43;1;ruim
25969;228128;658;0;20;0;ruim
49687;45873;824;87;32;1;bom
3232;29150;617;396;53;1;bom
9078;77562;925;45;41;1;bom
22101;87920;377;89;28;1;ruim
38905;300482;794;478;69;1;bom
37767;339366;299;149;32;1;ruim
38640;10995;813;183;46;1;bom
34589;318330;866;37;28;1;ruim
46109;369861;328;65;28;1;ruim
47575;187139;235;328;55;1;ruim
5259;13356;330;95;28;1;bom
39526;220152;662;235;66;1;bom
4515;22668;675;19;20;1;bom
31875;114132;987;42;42;1;bom
43820;6939;648;86;33;1;bom
15257;72182;994;11;46;1;bom
13253;33540;307;13;26;1;ruim
26173;147619;506;298;68;1;bom
24779;57777;348;101;30;0;bom
36811;167068;231;221;58;1;ruim
29970;265227;659;24;30;1;ruim
20274;170132;464;315;48;1;bom
14067;90347;584;22;54;1;ruim
